district,week_start,battles,explosions,strategic_dev,viol_civ
Adan Yabaal,2018-12-31,0.0,0.0,1.0,0.0
Adan Yabaal,2019-01-14,1.0,0.0,1.0,0.0
Adan Yabaal,2019-04-08,0.0,0.0,0.0,1.0
Adan Yabaal,2019-04-15,1.0,0.0,0.0,0.0
Adan Yabaal,2019-04-22,0.0,0.0,0.0,1.0
Adan Yabaal,2019-05-06,1.0,0.0,1.0,0.0
Adan Yabaal,2019-06-17,1.0,0.0,0.0,0.0
Adan Yabaal,2019-07-15,0.0,0.0,0.0,1.0
Adan Yabaal,2019-07-22,0.0,0.0,0.0,1.0
Adan Yabaal,2019-07-29,0.0,1.0,0.0,1.0
Adan Yabaal,2019-08-12,1.0,0.0,0.0,0.0
Adan Yabaal,2019-08-26,3.0,1.0,0.0,1.0
Adan Yabaal,2019-09-09,2.0,0.0,0.0,0.0
Adan Yabaal,2019-11-04,0.0,2.0,0.0,0.0
Adan Yabaal,2019-12-30,0.0,1.0,0.0,0.0
Adan Yabaal,2020-02-24,1.0,0.0,0.0,0.0
Adan Yabaal,2020-04-20,0.0,1.0,0.0,0.0
Adan Yabaal,2020-04-27,0.0,0.0,0.0,1.0
Adan Yabaal,2020-06-08,0.0,0.0,0.0,1.0
Adan Yabaal,2020-07-06,0.0,1.0,0.0,0.0
Adan Yabaal,2020-08-24,0.0,0.0,0.0,1.0
Adan Yabaal,2020-09-14,0.0,1.0,0.0,0.0
Adan Yabaal,2020-09-21,0.0,0.0,0.0,1.0
Adan Yabaal,2020-09-28,0.0,0.0,1.0,0.0
Adan Yabaal,2020-12-21,0.0,0.0,0.0,1.0
Adan Yabaal,2022-09-19,0.0,0.0,1.0,0.0
Adan Yabaal,2022-10-31,1.0,0.0,4.0,0.0
Adan Yabaal,2022-11-07,1.0,0.0,0.0,0.0
Adan Yabaal,2022-11-14,1.0,0.0,0.0,0.0
Adan Yabaal,2022-11-21,1.0,0.0,0.0,0.0
Adan Yabaal,2022-11-28,1.0,0.0,2.0,0.0
Adan Yabaal,2022-12-05,2.0,2.0,1.0,1.0
Adan Yabaal,2022-12-12,2.0,1.0,2.0,1.0
Adan Yabaal,2022-12-19,3.0,2.0,0.0,0.0
Adan Yabaal,2022-12-26,0.0,0.0,0.0,1.0
Adan Yabaal,2023-01-09,0.0,0.0,1.0,0.0
Adan Yabaal,2023-01-30,1.0,2.0,1.0,1.0
Adan Yabaal,2023-02-13,2.0,0.0,0.0,0.0
