district,week_start,outflows
Adan Yabaal,2017-02-06,77
Adan Yabaal,2017-02-13,4
Adan Yabaal,2017-02-20,518
Adan Yabaal,2017-03-27,47
Adan Yabaal,2017-04-10,39
Adan Yabaal,2017-08-21,4
Adan Yabaal,2017-11-13,5
Adan Yabaal,2017-11-27,12
Adan Yabaal,2017-12-18,20
Adan Yabaal,2017-12-25,57
Adan Yabaal,2018-01-15,24
Adan Yabaal,2018-02-19,5
Adan Yabaal,2018-03-12,38
Adan Yabaal,2018-04-16,22
Adan Yabaal,2018-06-11,13
Adan Yabaal,2018-06-25,13
Adan Yabaal,2018-07-02,10
Adan Yabaal,2018-07-09,14
Adan Yabaal,2018-07-30,34
Adan Yabaal,2018-08-06,4
Adan Yabaal,2018-08-20,12
Adan Yabaal,2018-11-12,41
Adan Yabaal,2018-12-10,16
Adan Yabaal,2019-01-21,3
Adan Yabaal,2019-01-28,92
Adan Yabaal,2019-02-11,14
Adan Yabaal,2019-02-25,5
Adan Yabaal,2019-03-25,7
Adan Yabaal,2019-05-06,6
Adan Yabaal,2019-05-20,7
Adan Yabaal,2019-07-01,48
Adan Yabaal,2019-07-22,12
Adan Yabaal,2019-09-16,12
Adan Yabaal,2019-09-23,7
Adan Yabaal,2020-06-01,10
Adan Yabaal,2020-10-19,83
Adan Yabaal,2020-12-14,10
Adan Yabaal,2021-01-11,9
Adan Yabaal,2021-02-01,45
Adan Yabaal,2021-03-08,14
Adan Yabaal,2021-03-15,51
Adan Yabaal,2021-03-22,51
Adan Yabaal,2021-03-29,54
Adan Yabaal,2021-04-05,39
Adan Yabaal,2021-04-12,60
Adan Yabaal,2021-04-19,24
Adan Yabaal,2021-04-26,44
Adan Yabaal,2021-05-31,15
Adan Yabaal,2021-07-12,6
Adan Yabaal,2021-11-08,18
Adan Yabaal,2021-11-22,87
Adan Yabaal,2021-11-29,58
Adan Yabaal,2021-12-06,56
Adan Yabaal,2021-12-13,127
Adan Yabaal,2021-12-20,49
Adan Yabaal,2021-12-27,41
Adan Yabaal,2022-01-03,8
Adan Yabaal,2022-01-10,90
Adan Yabaal,2022-01-17,11
Adan Yabaal,2022-01-24,53
Adan Yabaal,2022-01-31,8
Adan Yabaal,2022-02-07,57
Adan Yabaal,2022-02-14,59
Adan Yabaal,2022-02-21,79
Adan Yabaal,2022-02-28,57
Adan Yabaal,2022-03-07,57
Adan Yabaal,2022-03-14,60
Adan Yabaal,2022-03-21,39
Adan Yabaal,2022-03-28,22
Adan Yabaal,2022-04-04,82
Adan Yabaal,2022-04-11,21
Adan Yabaal,2022-04-18,55
Adan Yabaal,2022-04-25,85
Adan Yabaal,2022-05-02,28
Adan Yabaal,2022-05-23,7
Adan Yabaal,2022-05-30,41
Adan Yabaal,2022-06-06,33
Adan Yabaal,2022-06-13,49
Adan Yabaal,2022-06-20,10
Adan Yabaal,2022-06-27,44
Adan Yabaal,2022-07-04,30
Adan Yabaal,2022-07-11,30
Adan Yabaal,2022-07-25,178
Adan Yabaal,2022-08-01,52
Adan Yabaal,2022-08-08,22
Adan Yabaal,2022-08-15,21
Adan Yabaal,2022-08-22,19
Adan Yabaal,2022-09-05,74
Adan Yabaal,2022-09-12,37
Adan Yabaal,2022-09-19,37
Adan Yabaal,2022-09-26,16
Adan Yabaal,2022-10-03,42
Adan Yabaal,2022-10-10,39
Adan Yabaal,2022-10-17,12
Adan Yabaal,2022-10-24,14
Adan Yabaal,2022-10-31,136
Adan Yabaal,2022-11-07,20
Adan Yabaal,2022-11-14,337
Adan Yabaal,2022-11-21,507
Adan Yabaal,2022-11-28,738
Adan Yabaal,2022-12-05,184
Adan Yabaal,2022-12-12,1190
Adan Yabaal,2022-12-19,2545
Adan Yabaal,2022-12-26,276
Adan Yabaal,2023-01-02,904
Adan Yabaal,2023-01-09,795
Adan Yabaal,2023-01-16,690
Adan Yabaal,2023-01-23,15
Adan Yabaal,2023-01-30,20
Adan Yabaal,2023-02-13,15397
Adan Yabaal,2023-02-20,51
Adan Yabaal,2023-02-27,22
Adan Yabaal,2023-03-06,29
Adan Yabaal,2023-03-13,30
Adan Yabaal,2023-03-20,1900
Adan Yabaal,2023-03-27,5
Adan Yabaal,2023-04-03,44
Adan Yabaal,2023-04-10,96
Adan Yabaal,2023-04-17,65
Adan Yabaal,2023-04-24,64
Adan Yabaal,2023-05-01,35
Adan Yabaal,2023-05-08,15
Adan Yabaal,2023-05-15,70
Adan Yabaal,2023-05-22,54
Adan Yabaal,2023-05-29,72
Adan Yabaal,2023-06-05,36
Adan Yabaal,2023-06-12,111
Adan Yabaal,2023-06-19,60
Adan Yabaal,2023-06-26,30
Adan Yabaal,2023-07-03,48
Adan Yabaal,2023-07-10,57
Adan Yabaal,2023-07-17,31
Adan Yabaal,2023-07-24,126
Afgooye,2017-01-02,10
Afgooye,2017-01-09,160
Afgooye,2017-01-16,110
Afgooye,2017-01-30,106
Afgooye,2017-02-13,876
Afgooye,2017-03-06,78
Afgooye,2017-03-13,454
Afgooye,2017-03-20,160
Afgooye,2017-04-17,282
Afgooye,2017-05-01,1702
Afgooye,2017-05-15,15
Afgooye,2017-05-22,5755
Afgooye,2017-05-29,1087
Afgooye,2017-06-05,910
Afgooye,2017-07-24,227
Afgooye,2017-08-07,130
Afgooye,2017-08-14,210
Afgooye,2017-08-21,88
Afgooye,2017-08-28,80
Afgooye,2017-09-04,407
Afgooye,2017-09-18,1140
Afgooye,2017-09-25,8
Afgooye,2017-10-02,89
Afgooye,2017-10-09,795
Afgooye,2017-10-16,679
Afgooye,2017-10-23,396
Afgooye,2017-10-30,290
Afgooye,2017-11-06,1992
Afgooye,2017-11-13,4198
Afgooye,2017-11-20,1901
Afgooye,2017-11-27,345
Afgooye,2017-12-04,865
Afgooye,2017-12-11,1378
Afgooye,2017-12-18,242
Afgooye,2017-12-25,2319
Afgooye,2018-01-01,1353
Afgooye,2018-01-08,2253
Afgooye,2018-01-15,1767
Afgooye,2018-01-22,3827
Afgooye,2018-01-29,2311
Afgooye,2018-02-05,2093
Afgooye,2018-02-12,3631
Afgooye,2018-02-19,3729
Afgooye,2018-02-26,2641
Afgooye,2018-03-05,3606
Afgooye,2018-03-12,6705
